ClientId,ArrivalTime,ServiceStart,ServiceEnd,Wait,ServiceTime,QueueLength,Rejected
1,6.05,10.21,13.53,4.15,3.31,0,0
2,11.12,19.04,22.83,7.92,3.79,0,0
3,17.08,28.34,32.08,11.26,3.73,1,0
4,22.14,37.60,40.86,15.46,3.25,1,0
5,27.54,46.37,49.98,18.83,3.61,2,0
6,32.80,55.48,59.30,22.69,3.82,2,0
7,39.53,64.82,68.75,25.29,3.92,2,0
8,46.42,-1.00,-1.00,-1.00,-1.00,2,0
9,52.83,-1.00,-1.00,-1.00,-1.00,3,0
10,58.35,-1.00,-1.00,-1.00,-1.00,3,0
11,63.75,-1.00,-1.00,-1.00,-1.00,4,0
12,69.75,-1.00,-1.00,-1.00,-1.00,4,0
